v_mae,v_rmse,v_r2,t_mae,t_rmse,t_r2,n_valid_points,model,display_name,experiment_id,operation,c_rate,n_sequences
0.006000525783747435,0.011395499380745883,0.9784389734268188,0.184220552444458,0.34167071602716764,0.9902672171592712,24160,mlp,ANN,cc_chg_1p5C_25degC,charge,1.5,151
0.005093934014439583,0.010085732415761203,0.9738449454307556,0.21615318953990936,0.42181994820724017,0.9901549816131592,24160,mlp,ANN,cc_chg_2C_25degC,charge,2.0,151
0.0049032000824809074,0.009817407084017335,0.9606149196624756,0.2483138144016266,0.4937845236140609,0.9896036982536316,24160,mlp,ANN,cc_chg_2p5C_25degC,charge,2.5,151
0.010773571208119392,0.029800216783527213,0.9817859530448914,0.09985385835170746,0.13662575556318415,0.9990168809890747,24160,mlp,ANN,cc_dchg_1p5C_25degC,discharge,1.5,151
0.010221505537629128,0.02905552313747405,0.9799391627311707,0.11526619642972946,0.17303115329839627,0.9991948008537292,24160,mlp,ANN,cc_dchg_2C_25degC,discharge,2.0,151
0.009797858074307442,0.026858767393572756,0.9799870252609253,0.14346975088119507,0.2197678675504925,0.9992237091064453,24160,mlp,ANN,cc_dchg_2p5C_25degC,discharge,2.5,151
0.006197067908942699,0.014022743092016227,0.9673510193824768,0.14757689833641052,0.2488743953113117,0.9948360323905945,24160,rnn,RNN,cc_chg_1p5C_25degC,charge,1.5,151
0.004802290350198746,0.012275520356645205,0.9612545967102051,0.16608470678329468,0.28966103267229715,0.9953575730323792,24160,rnn,RNN,cc_chg_2C_25degC,charge,2.0,151
0.004252567887306213,0.011667764037238995,0.9443694353103638,0.19187331199645996,0.3338899646298895,0.9952465295791626,24160,rnn,RNN,cc_chg_2p5C_25degC,charge,2.5,151
0.007845684885978699,0.020639440619155913,0.9912629723548889,0.09236709028482437,0.12548877107398473,0.9991706013679504,24160,rnn,RNN,cc_dchg_1p5C_25degC,discharge,1.5,151
0.007181283086538315,0.01958842848612626,0.990882158279419,0.11190366744995117,0.15864086813576023,0.9993231296539307,24160,rnn,RNN,cc_dchg_2C_25degC,discharge,2.0,151
0.007587778382003307,0.018005936015690418,0.9910056591033936,0.14790078997612,0.2294493452623909,0.9991537928581238,24160,rnn,RNN,cc_dchg_2p5C_25degC,discharge,2.5,151
0.003951450809836388,0.010473928497382178,0.9817852973937988,0.12636540830135345,0.2989252094810424,0.9925501942634583,24160,lstm,LSTM,cc_chg_1p5C_25degC,charge,1.5,151
0.003021672833710909,0.009107888301728458,0.9786707162857056,0.1508372277021408,0.40522923975394026,0.9909141659736633,24160,lstm,LSTM,cc_chg_2C_25degC,charge,2.0,151
0.0026877690106630325,0.008352280316436665,0.9714931845664978,0.18139882385730743,0.510619227121094,0.9888827204704285,24160,lstm,LSTM,cc_chg_2p5C_25degC,charge,2.5,151
0.006927520036697388,0.028726379627375027,0.9830750226974487,0.060650747269392014,0.09734245907921008,0.9995009303092957,24160,lstm,LSTM,cc_dchg_1p5C_25degC,discharge,1.5,151
0.006536644883453846,0.027532475441246974,0.9819871783256531,0.07797548174858093,0.13239441308381023,0.9995285868644714,24160,lstm,LSTM,cc_dchg_2C_25degC,discharge,2.0,151
0.006545822136104107,0.026277785706067685,0.9808434844017029,0.10431273281574249,0.19180082989128794,0.9994087219238281,24160,lstm,LSTM,cc_dchg_2p5C_25degC,discharge,2.5,151
0.003148971125483513,0.007594265649348021,0.9904242157936096,0.14231881499290466,0.3350488308290554,0.9906408190727234,24160,bilstm,BiLSTM,cc_chg_1p5C_25degC,charge,1.5,151
0.002507589990273118,0.006467009482155098,0.9892465472221375,0.17700181901454926,0.4588402542129699,0.988351047039032,24160,bilstm,BiLSTM,cc_chg_2C_25degC,charge,2.0,151
0.0022625571582466364,0.005710576324304107,0.9866740703582764,0.20711185038089752,0.5656483018406387,0.9863573908805847,24160,bilstm,BiLSTM,cc_chg_2p5C_25degC,charge,2.5,151
0.00729344179853797,0.03069383836882828,0.9806772470474243,0.06820467859506607,0.11159370349962114,0.9993441104888916,24160,bilstm,BiLSTM,cc_dchg_1p5C_25degC,discharge,1.5,151
0.006914044730365276,0.02981756647480893,0.978873074054718,0.08788131922483444,0.150781643328376,0.999388575553894,24160,bilstm,BiLSTM,cc_dchg_2C_25degC,discharge,2.0,151
0.0071129873394966125,0.02914809057372543,0.9764299988746643,0.12034834176301956,0.22137906364597004,0.9992122650146484,24160,bilstm,BiLSTM,cc_dchg_2p5C_25degC,discharge,2.5,151
0.0053462740033864975,0.009246503553648202,0.9858042597770691,0.1665716916322708,0.29591267617592276,0.9926995635032654,24160,cnn,CNN,cc_chg_1p5C_25degC,charge,1.5,151
0.004479406401515007,0.008124307114459396,0.983028769493103,0.1941835880279541,0.36500444161312384,0.9926284551620483,24160,cnn,CNN,cc_chg_2C_25degC,charge,2.0,151
0.004296374972909689,0.007358093702344671,0.9778757095336914,0.21565063297748566,0.4215898609826039,0.9924215078353882,24160,cnn,CNN,cc_chg_2p5C_25degC,charge,2.5,151
0.01015248242765665,0.024553607060705376,0.9876348972320557,0.09809216856956482,0.1330353046074445,0.9990678429603577,24160,cnn,CNN,cc_dchg_1p5C_25degC,discharge,1.5,151
0.00966134387999773,0.025178035368084554,0.9849361777305603,0.10899755358695984,0.1655583985491356,0.9992628693580627,24160,cnn,CNN,cc_dchg_2C_25degC,discharge,2.0,151
0.009969246573746204,0.024454461290102227,0.9834096431732178,0.15004156529903412,0.2439025404658412,0.9990438222885132,24160,cnn,CNN,cc_dchg_2p5C_25degC,discharge,2.5,151
0.002640350488945842,0.006691328602860585,0.992565929889679,0.1038958728313446,0.23469917607374108,0.9954075217247009,24160,cnn_bilstm,CNN-BiLSTM,cc_chg_1p5C_25degC,charge,1.5,151
0.001968134893104434,0.00553773375574246,0.9921149611473083,0.13294334709644318,0.31544642212117974,0.9944942593574524,24160,cnn_bilstm,CNN-BiLSTM,cc_chg_2C_25degC,charge,2.0,151
0.0017138978000730276,0.004728343420352564,0.9908639788627625,0.1612466722726822,0.3930077929658376,0.9934142231941223,24160,cnn_bilstm,CNN-BiLSTM,cc_chg_2p5C_25degC,charge,2.5,151
0.004742712248116732,0.019630718266180458,0.9920961260795593,0.0538313090801239,0.07832039300338908,0.9996769428253174,24160,cnn_bilstm,CNN-BiLSTM,cc_dchg_1p5C_25degC,discharge,1.5,151
0.004689036402851343,0.019597244526300225,0.9908739924430847,0.06887069344520569,0.10293033968811145,0.9997150897979736,24160,cnn_bilstm,CNN-BiLSTM,cc_dchg_2C_25degC,discharge,2.0,151
0.005033400841057301,0.019168870081348967,0.9898062944412231,0.09658655524253845,0.14908570629794202,0.9996427297592163,24160,cnn_bilstm,CNN-BiLSTM,cc_dchg_2p5C_25degC,discharge,2.5,151
0.006682658568024635,0.011764595016694806,0.9770196080207825,0.17603226006031036,0.2915192540919136,0.9929147362709045,24160,bayesian_mlp,Bayesian MLP,cc_chg_1p5C_25degC,charge,1.5,151
0.005539479665458202,0.010289203116262375,0.9727789759635925,0.21943399310112,0.3768969874507822,0.9921402335166931,24160,bayesian_mlp,Bayesian MLP,cc_chg_2C_25degC,charge,2.0,151
0.005317656323313713,0.010024742081845565,0.9589337706565857,0.26275572180747986,0.46221402773708964,0.990890622138977,24160,bayesian_mlp,Bayesian MLP,cc_chg_2p5C_25degC,charge,2.5,151
0.011760233901441097,0.026443474841681094,0.9856581687927246,0.10974155366420746,0.14522090891503,0.9988892674446106,24160,bayesian_mlp,Bayesian MLP,cc_dchg_1p5C_25degC,discharge,1.5,151
0.01074272021651268,0.026092162324879088,0.9838224649429321,0.134799525141716,0.18796920679596582,0.9990497827529907,24160,bayesian_mlp,Bayesian MLP,cc_dchg_2C_25degC,discharge,2.0,151
0.01100072544068098,0.026168099218200735,0.9810030460357666,0.208656445145607,0.31993387686512426,0.9983547925949097,24160,bayesian_mlp,Bayesian MLP,cc_dchg_2p5C_25degC,discharge,2.5,151
